,date,tic,open,high,low,close,volume,macd,rsi_30,cci_30,dx_30
1172,2013-08-29,^DJI,14817.91015625,14916.009765625,14792.1103515625,14840.9501953125,93170000,-150.00212127289706,41.81259787919147,-122.97118914647953,37.402471464796015
1173,2013-08-30,^DJI,14844.099609375,14848.240234375,14762.349609375,14810.3095703125,135850000,-153.74377736599854,41.18215845499576,-120.87387038176588,39.667115802422884
1174,2013-09-03,^DJI,14801.5498046875,14933.349609375,14777.48046875,14833.9599609375,142530000,-153.0365676185338,41.88185847366261,-101.21382301665842,25.758684657210168
1175,2013-09-04,^DJI,14832.419921875,14956.740234375,14799.08984375,14930.8701171875,122150000,-143.00775472386886,44.67185183237995,-83.23828521275605,22.184090337838192
1176,2013-09-05,^DJI,14929.490234375,14987.4697265625,14923.26953125,14937.48046875,101010000,-132.99338318917398,44.85863917844045,-65.745050943021,17.493994714296115
1177,2013-09-06,^DJI,14941.5498046875,15009.83984375,14789.400390625,14922.5,108410000,-124.82679464274042,44.50639177067231,-71.05669682772441,30.005748734597006
1178,2013-09-09,^DJI,14927.1904296875,15088.41015625,14927.1904296875,15063.1201171875,90660000,-105.78838350288243,48.43805500690642,-39.749279547156384,18.711267685811652
1179,2013-09-10,^DJI,15067.23046875,15192.1298828125,15067.23046875,15191.0595703125,103200000,-79.4606875342979,51.66140637890242,-6.822978129216271,5.747256111012634
1180,2013-09-11,^DJI,15194.1298828125,15326.599609375,15194.1298828125,15326.599609375,102090000,-47.11572959911973,54.76081945827326,30.12534507532758,8.15345856373974
1181,2013-09-12,^DJI,15327.1396484375,15345.3203125,15283.259765625,15300.6396484375,99760000,-23.308187022708807,54.073857812456424,40.82275157477708,9.915751944649404
1182,2013-09-13,^DJI,15312.8603515625,15380.9697265625,15312.8603515625,15376.0595703125,90890000,1.6264704391287523,55.74246856858029,57.98979566157661,13.301997366591367
1183,2013-09-16,^DJI,15381.3603515625,15549.8701171875,15381.3603515625,15494.7802734375,105740000,30.614232854364673,58.21466298213169,95.45132244733863,27.167530220190557
1184,2013-09-17,^DJI,15503.150390625,15555.0703125,15503.150390625,15529.73046875,104480000,55.76461234588169,58.91360298346505,113.6001447601584,27.5488815486388
1185,2013-09-18,^DJI,15533.0302734375,15709.580078125,15470.16015625,15676.9404296875,145410000,86.57707621207555,61.70468429358865,137.38767755830892,37.87967991804522
1186,2013-09-19,^DJI,15677.8603515625,15695.8896484375,15625.4501953125,15636.5498046875,116280000,106.50921797377123,60.5374311529188,141.26731864335318,37.87967991804522
1187,2013-09-20,^DJI,15635.08984375,15654.76953125,15448.08984375,15451.08984375,379650000,106.11726129662566,55.54634305275074,102.4351980540692,16.154944673398035
1188,2013-09-23,^DJI,15452.3095703125,15466.9501953125,15368.25,15401.3798828125,94920000,100.63539224348278,54.30490006071032,72.89895700151808,7.968801434428628
1189,2013-09-24,^DJI,15402.5400390625,15433.75,15327.1396484375,15334.58984375,85430000,89.86565819124007,52.6687765996046,60.402861791673246,3.936929505990779
1190,2013-09-25,^DJI,15339.01953125,15372.48046875,15253.16015625,15273.259765625,81890000,75.51129441735793,51.20336169070485,43.933362800208364,3.028926647541285
1191,2013-09-26,^DJI,15274.419921875,15387.1904296875,15274.419921875,15328.2998046875,79050000,67.7951288283657,52.43207359897579,53.457225504552596,1.5818727615616035
1192,2013-09-27,^DJI,15317.4501953125,15317.4501953125,15211.8095703125,15258.240234375,95660000,55.38830825561308,50.74938804554187,32.49355325387134,7.493359972990814
1193,2013-09-30,^DJI,15249.8203125,15249.8203125,15086.7099609375,15129.669921875,122330000,34.78033776977463,47.83499480763214,0.9606154088391405,18.011696569367132
